
Píxel (0, 0): R=000, G=000, B=000
Píxel (33, 1): R=254, G=253, B=000
Píxel (34, 1): R=000, G=253, B=000
Píxel (35, 1): R=000, G=252, B=000
Píxel (36, 1): R=000, G=253, B=254
Píxel (37, 1): R=000, G=253, B=254
Píxel (38, 1): R=000, G=253, B=254
Píxel (39, 1): R=254, G=254, B=252
Píxel (40, 1): R=253, G=000, B=252
Píxel (41, 1): R=254, G=000, B=253
Píxel (42, 1): R=000, G=000, B=000
Píxel (43, 1): R=254, G=254, B=254
Píxel (44, 1): R=254, G=254, B=254
Píxel (45, 1): R=254, G=254, B=254
Píxel (46, 1): R=254, G=254, B=000
Píxel (47, 1): R=254, G=252, B=000
Píxel (48, 1): R=000, G=252, B=000
Píxel (49, 1): R=000, G=252, B=000
Píxel (50, 1): R=254, G=254, B=000
Píxel (51, 1): R=254, G=254, B=000
Píxel (52, 1): R=000, G=253, B=254
Píxel (53, 1): R=000, G=253, B=254
Píxel (54, 1): R=253, G=000, B=252
Píxel (55, 1): R=253, G=000, B=250
Píxel (56, 1): R=254, G=000, B=250
Píxel (57, 1): R=254, G=000, B=250
Píxel (58, 1): R=253, G=000, B=252
Píxel (59, 1): R=253, G=000, B=252
Píxel (60, 1): R=000, G=253, B=254
Píxel (61, 1): R=000, G=253, B=254
Píxel (62, 1): R=000, G=253, B=254
Píxel (63, 1): R=000, G=253, B=254
Píxel (64, 1): R=254, G=254, B=254
Píxel (65, 1): R=254, G=254, B=254
Píxel (66, 1): R=254, G=254, B=254
Píxel (67, 1): R=254, G=254, B=254
Píxel (68, 1): R=254, G=254, B=254
Píxel (69, 1): R=254, G=254, B=254
Píxel (70, 1): R=254, G=254, B=254
Píxel (71, 1): R=254, G=254, B=254
Píxel (72, 1): R=254, G=254, B=254
Píxel (73, 1): R=254, G=254, B=254
Píxel (74, 1): R=000, G=000, B=000
Píxel (75, 1): R=253, G=253, B=253
Píxel (76, 1): R=000, G=000, B=000
Píxel (77, 1): R=254, G=254, B=254
Píxel (78, 1): R=000, G=000, B=000
Píxel (79, 1): R=248, G=248, B=248
Píxel (80, 1): R=253, G=253, B=253
Píxel (81, 1): R=000, G=000, B=000
Píxel (82, 1): R=252, G=252, B=252
Píxel (0, 2): R=252, G=252, B=252
Píxel (1, 2): R=000, G=000, B=000
Píxel (2, 2): R=191, G=191, B=191
Píxel (3, 2): R=127, G=127, B=127
Píxel (4, 2): R=160, G=160, B=160
Píxel (5, 2): R=152, G=152, B=152
Píxel (6, 2): R=155, G=155, B=155
Píxel (7, 2): R=154, G=154, B=154
Píxel (8, 2): R=154, G=154, B=154
Píxel (9, 2): R=154, G=154, B=154
Píxel (10, 2): R=154, G=154, B=154
Píxel (11, 2): R=154, G=154, B=154
Píxel (12, 2): R=154, G=154, B=154
Píxel (13, 2): R=154, G=154, B=154
Píxel (14, 2): R=154, G=154, B=154
Píxel (15, 2): R=154, G=154, B=152
Píxel (16, 2): R=153, G=155, B=150
Píxel (17, 2): R=154, G=154, B=152
Píxel (18, 2): R=158, G=152, B=156
Píxel (19, 2): R=158, G=151, B=158
Píxel (20, 2): R=153, G=154, B=158
Píxel (21, 2): R=150, G=155, B=158
Píxel (22, 2): R=151, G=155, B=156
Píxel (23, 2): R=153, G=155, B=154
Píxel (24, 2): R=154, G=154, B=152
Píxel (25, 2): R=154, G=154, B=152
Píxel (26, 2): R=150, G=156, B=152
Píxel (27, 2): R=148, G=157, B=152
Píxel (28, 2): R=150, G=156, B=154
Píxel (29, 2): R=153, G=155, B=154
Píxel (30, 2): R=155, G=153, B=154
Píxel (31, 2): R=157, G=153, B=152
Píxel (32, 2): R=154, G=154, B=152
Píxel (33, 2): R=154, G=154, B=152
Píxel (34, 2): R=155, G=153, B=154
Píxel (35, 2): R=157, G=153, B=154
Píxel (36, 2): R=158, G=152, B=154
Píxel (37, 2): R=157, G=153, B=154
Píxel (38, 2): R=155, G=153, B=154
Píxel (39, 2): R=154, G=154, B=156
Píxel (40, 2): R=153, G=154, B=156
Píxel (41, 2): R=151, G=155, B=156
Píxel (42, 2): R=153, G=154, B=156
Píxel (43, 2): R=153, G=154, B=156
Píxel (44, 2): R=153, G=154, B=156
Píxel (45, 2): R=153, G=154, B=156
Píxel (46, 2): R=151, G=155, B=156
Píxel (47, 2): R=153, G=154, B=156
Píxel (48, 2): R=154, G=154, B=156
Píxel (49, 2): R=154, G=154, B=156
Píxel (50, 2): R=151, G=156, B=152
Píxel (51, 2): R=150, G=157, B=149
Píxel (52, 2): R=150, G=158, B=147
Píxel (53, 2): R=150, G=157, B=149
Píxel (54, 2): R=153, G=155, B=152
Píxel (55, 2): R=154, G=154, B=154
Píxel (56, 2): R=157, G=152, B=158
Píxel (57, 2): R=155, G=152, B=159
Píxel (58, 2): R=153, G=154, B=158
Píxel (59, 2): R=153, G=154, B=158
Píxel (60, 2): R=155, G=153, B=156
Píxel (61, 2): R=155, G=153, B=154
Píxel (62, 2): R=154, G=154, B=152
Píxel (63, 2): R=154, G=154, B=152
Píxel (64, 2): R=154, G=154, B=154
Píxel (65, 2): R=154, G=154, B=154
Píxel (66, 2): R=154, G=154, B=154
Píxel (67, 2): R=154, G=154, B=154
Píxel (68, 2): R=154, G=154, B=154
Píxel (69, 2): R=154, G=154, B=154
Píxel (70, 2): R=154, G=154, B=154
Píxel (71, 2): R=154, G=154, B=154
Píxel (72, 2): R=154, G=154, B=154
Píxel (73, 2): R=153, G=153, B=153
Píxel (74, 2): R=154, G=154, B=154
Píxel (75, 2): R=153, G=153, B=153
Píxel (76, 2): R=155, G=155, B=155
Píxel (77, 2): R=154, G=154, B=154
Píxel (78, 2): R=153, G=153, B=153
Píxel (79, 2): R=136, G=136, B=136
Píxel (80, 2): R=197, G=197, B=197
Píxel (81, 2): R=252, G=252, B=252
Píxel (82, 2): R=000, G=000, B=000
Píxel (0, 3): R=000, G=000, B=000
Píxel (1, 3): R=254, G=254, B=254
Píxel (2, 3): R=185, G=185, B=185
Píxel (3, 3): R=233, G=233, B=233
Píxel (4, 3): R=000, G=000, B=000
Píxel (5, 3): R=000, G=000, B=000
Píxel (6, 3): R=254, G=254, B=254
Píxel (7, 3): R=254, G=254, B=254
Píxel (8, 3): R=000, G=000, B=000
Píxel (9, 3): R=000, G=000, B=000
Píxel (10, 3): R=000, G=000, B=000
Píxel (11, 3): R=000, G=000, B=000
Píxel (12, 3): R=000, G=000, B=000
Píxel (13, 3): R=000, G=000, B=000
Píxel (14, 3): R=000, G=000, B=000
Píxel (15, 3): R=000, G=000, B=000
Píxel (16, 3): R=000, G=000, B=000
Píxel (17, 3): R=000, G=254, B=000
Píxel (18, 3): R=000, G=252, B=000
Píxel (19, 3): R=000, G=253, B=000
Píxel (20, 3): R=254, G=000, B=000
Píxel (21, 3): R=251, G=000, B=000
Píxel (22, 3): R=252, G=000, B=000
Píxel (23, 3): R=252, G=000, B=253
Píxel (24, 3): R=254, G=000, B=253
Píxel (25, 3): R=254, G=000, B=253
Píxel (26, 3): R=252, G=000, B=253
Píxel (27, 3): R=251, G=000, B=253
Píxel (28, 3): R=249, G=000, B=000
Píxel (29, 3): R=251, G=000, B=253
Píxel (30, 3): R=000, G=000, B=253
Píxel (31, 3): R=000, G=000, B=251
Píxel (32, 3): R=254, G=000, B=253
Píxel (33, 3): R=254, G=000, B=253
Píxel (34, 3): R=000, G=000, B=253
Píxel (35, 3): R=000, G=254, B=253
Píxel (36, 3): R=000, G=253, B=000
Píxel (37, 3): R=000, G=254, B=000
Píxel (38, 3): R=000, G=254, B=000
Píxel (39, 3): R=254, G=000, B=000
Píxel (40, 3): R=252, G=000, B=000
Píxel (41, 3): R=252, G=000, B=000
Píxel (42, 3): R=254, G=000, B=000
Píxel (43, 3): R=000, G=000, B=000
Píxel (44, 3): R=000, G=000, B=000
Píxel (45, 3): R=254, G=000, B=000
Píxel (46, 3): R=254, G=000, B=000
Píxel (47, 3): R=252, G=000, B=000
Píxel (48, 3): R=254, G=000, B=000
Píxel (49, 3): R=254, G=000, B=000
Píxel (50, 3): R=251, G=000, B=251
Píxel (51, 3): R=249, G=000, B=250
Píxel (52, 3): R=249, G=000, B=248
Píxel (53, 3): R=252, G=000, B=250
Píxel (54, 3): R=000, G=000, B=253
Píxel (55, 3): R=000, G=253, B=000
Píxel (56, 3): R=000, G=252, B=000
Píxel (57, 3): R=000, G=252, B=000
Píxel (58, 3): R=252, G=000, B=000
Píxel (59, 3): R=252, G=000, B=000
Píxel (60, 3): R=000, G=254, B=000
Píxel (61, 3): R=000, G=254, B=000
Píxel (62, 3): R=000, G=254, B=000
Píxel (63, 3): R=000, G=000, B=000
Píxel (64, 3): R=000, G=000, B=000
Píxel (65, 3): R=000, G=000, B=000
Píxel (66, 3): R=000, G=000, B=000
Píxel (67, 3): R=000, G=000, B=000
Píxel (68, 3): R=000, G=000, B=000
Píxel (69, 3): R=000, G=000, B=000
Píxel (70, 3): R=000, G=000, B=000
Píxel (71, 3): R=000, G=000, B=000
Píxel (72, 3): R=000, G=000, B=000
Píxel (73, 3): R=253, G=253, B=253
Píxel (74, 3): R=000, G=000, B=000
Píxel (75, 3): R=000, G=000, B=000
Píxel (76, 3): R=000, G=000, B=000
Píxel (77, 3): R=000, G=000, B=000
Píxel (78, 3): R=254, G=254, B=254
Píxel (79, 3): R=228, G=228, B=228
Píxel (80, 3): R=180, G=180, B=180
Píxel (81, 3): R=000, G=000, B=000
Píxel (82, 3): R=000, G=000, B=000
Píxel (0, 4): R=253, G=253, B=253
Píxel (1, 4): R=000, G=000, B=000
Píxel (2, 4): R=181, G=181, B=181
Píxel (3, 4): R=223, G=223, B=223
Píxel (4, 4): R=000, G=000, B=000
Píxel (5, 4): R=253, G=253, B=253
Píxel (6, 4): R=000, G=000, B=000
Píxel (7, 4): R=000, G=000, B=000
Píxel (8, 4): R=000, G=000, B=000
Píxel (9, 4): R=000, G=000, B=000
Píxel (10, 4): R=000, G=000, B=000
Píxel (11, 4): R=000, G=000, B=000
Píxel (12, 4): R=000, G=000, B=000
Píxel (13, 4): R=000, G=000, B=000
Píxel (14, 4): R=000, G=000, B=000
Píxel (15, 4): R=000, G=000, B=000
Píxel (16, 4): R=000, G=254, B=000
Píxel (17, 4): R=000, G=253, B=000
Píxel (18, 4): R=000, G=253, B=000
Píxel (19, 4): R=000, G=252, B=000
Píxel (20, 4): R=000, G=254, B=253
Píxel (21, 4): R=000, G=000, B=251
Píxel (22, 4): R=254, G=000, B=253
Píxel (23, 4): R=252, G=000, B=253
Píxel (24, 4): R=251, G=000, B=000
Píxel (25, 4): R=252, G=000, B=000
Píxel (26, 4): R=000, G=254, B=000
Píxel (27, 4): R=000, G=000, B=000
Píxel (28, 4): R=249, G=000, B=253
Píxel (29, 4): R=248, G=000, B=253
Píxel (30, 4): R=251, G=000, B=251
Píxel (31, 4): R=252, G=000, B=251
Píxel (32, 4): R=252, G=000, B=253
Píxel (33, 4): R=252, G=000, B=000
Píxel (34, 4): R=000, G=000, B=000
Píxel (35, 4): R=000, G=254, B=000
Píxel (36, 4): R=000, G=254, B=000
Píxel (37, 4): R=000, G=254, B=000
Píxel (38, 4): R=000, G=000, B=000
Píxel (39, 4): R=254, G=000, B=000
Píxel (40, 4): R=252, G=000, B=000
Píxel (41, 4): R=254, G=000, B=000
Píxel (42, 4): R=000, G=000, B=000
Píxel (43, 4): R=000, G=254, B=000
Píxel (44, 4): R=000, G=254, B=000
Píxel (45, 4): R=000, G=000, B=253
Píxel (46, 4): R=000, G=254, B=000
Píxel (47, 4): R=000, G=000, B=000
Píxel (48, 4): R=000, G=000, B=000
Píxel (49, 4): R=254, G=000, B=000
Píxel (50, 4): R=251, G=000, B=253
Píxel (51, 4): R=251, G=000, B=253
Píxel (52, 4): R=000, G=000, B=000
Píxel (53, 4): R=000, G=254, B=000
Píxel (54, 4): R=000, G=253, B=000
Píxel (55, 4): R=000, G=252, B=000
Píxel (56, 4): R=000, G=252, B=000
Píxel (57, 4): R=000, G=254, B=000
Píxel (58, 4): R=252, G=000, B=000
Píxel (59, 4): R=252, G=000, B=000
Píxel (60, 4): R=000, G=254, B=000
Píxel (61, 4): R=000, G=253, B=000
Píxel (62, 4): R=000, G=253, B=000
Píxel (63, 4): R=000, G=254, B=000
Píxel (64, 4): R=000, G=254, B=000
Píxel (65, 4): R=000, G=000, B=000
Píxel (66, 4): R=000, G=000, B=000
Píxel (67, 4): R=000, G=000, B=000
Píxel (68, 4): R=000, G=000, B=000
Píxel (69, 4): R=000, G=000, B=000
Píxel (70, 4): R=000, G=000, B=000
Píxel (71, 4): R=000, G=000, B=000
Píxel (72, 4): R=000, G=000, B=000
Píxel (73, 4): R=000, G=000, B=000
Píxel (74, 4): R=000, G=000, B=000
Píxel (75, 4): R=000, G=000, B=000
Píxel (76, 4): R=254, G=254, B=254
Píxel (77, 4): R=000, G=000, B=000
Píxel (78, 4): R=000, G=000, B=000
Píxel (79, 4): R=225, G=225, B=225
Píxel (80, 4): R=191, G=191, B=191
Píxel (81, 4): R=000, G=000, B=000
Píxel (82, 4): R=250, G=250, B=250
Píxel (0, 5): R=000, G=000, B=000
Píxel (1, 5): R=254, G=254, B=254
Píxel (2, 5): R=186, G=186, B=186
Píxel (3, 5): R=223, G=223, B=223
Píxel (4, 5): R=253, G=253, B=253
Píxel (5, 5): R=000, G=000, B=000
Píxel (6, 5): R=254, G=254, B=254
Píxel (7, 5): R=000, G=000, B=000
Píxel (8, 5): R=000, G=000, B=000
Píxel (9, 5): R=000, G=000, B=000
Píxel (10, 5): R=000, G=000, B=000
Píxel (11, 5): R=000, G=000, B=000
Píxel (12, 5): R=000, G=000, B=000
Píxel (13, 5): R=000, G=000, B=000
Píxel (14, 5): R=000, G=000, B=000
Píxel (15, 5): R=000, G=000, B=000
Píxel (16, 5): R=254, G=254, B=000
Píxel (17, 5): R=000, G=254, B=000
Píxel (18, 5): R=000, G=254, B=000
Píxel (19, 5): R=000, G=254, B=253
Píxel (20, 5): R=000, G=254, B=251
Píxel (21, 5): R=000, G=000, B=250
Píxel (22, 5): R=254, G=000, B=253
Píxel (23, 5): R=252, G=000, B=000
Píxel (24, 5): R=252, G=000, B=000
Píxel (25, 5): R=254, G=000, B=000
Píxel (26, 5): R=000, G=254, B=000
Píxel (27, 5): R=000, G=254, B=000
Píxel (28, 5): R=252, G=000, B=253
Píxel (29, 5): R=251, G=000, B=253
Píxel (30, 5): R=251, G=000, B=253
Píxel (31, 5): R=251, G=000, B=253
Píxel (32, 5): R=251, G=000, B=254
Píxel (33, 5): R=251, G=000, B=254
Píxel (34, 5): R=253, G=000, B=254
Píxel (35, 5): R=254, G=254, B=254
Píxel (36, 5): R=000, G=253, B=254
Píxel (37, 5): R=254, G=254, B=254
Píxel (38, 5): R=253, G=000, B=254
Píxel (39, 5): R=251, G=000, B=254
Píxel (40, 5): R=251, G=000, B=254
Píxel (41, 5): R=250, G=254, B=253
Píxel (42, 5): R=254, G=254, B=252
Píxel (43, 5): R=000, G=254, B=252
Píxel (44, 5): R=000, G=254, B=252
Píxel (45, 5): R=000, G=254, B=252
Píxel (46, 5): R=000, G=254, B=252
Píxel (47, 5): R=000, G=254, B=252
Píxel (48, 5): R=254, G=252, B=253
Píxel (49, 5): R=253, G=253, B=253
Píxel (50, 5): R=252, G=254, B=253
Píxel (51, 5): R=253, G=254, B=000
Píxel (52, 5): R=000, G=252, B=000
Píxel (53, 5): R=000, G=251, B=000
Píxel (54, 5): R=000, G=251, B=000
Píxel (55, 5): R=000, G=253, B=000
Píxel (56, 5): R=000, G=253, B=000
Píxel (57, 5): R=000, G=254, B=000
Píxel (58, 5): R=254, G=000, B=000
Píxel (59, 5): R=252, G=000, B=000
Píxel (60, 5): R=000, G=000, B=000
Píxel (61, 5): R=000, G=254, B=000
Píxel (62, 5): R=000, G=253, B=000
Píxel (63, 5): R=000, G=253, B=000
Píxel (64, 5): R=000, G=254, B=000
Píxel (65, 5): R=000, G=000, B=000
Píxel (66, 5): R=000, G=000, B=000
Píxel (67, 5): R=000, G=000, B=000
Píxel (68, 5): R=000, G=000, B=000
Píxel (69, 5): R=000, G=000, B=000
Píxel (70, 5): R=000, G=000, B=000
Píxel (71, 5): R=000, G=000, B=000
Píxel (72, 5): R=254, G=254, B=254
Píxel (73, 5): R=000, G=000, B=000
Píxel (74, 5): R=000, G=000, B=000
Píxel (75, 5): R=000, G=000, B=000
Píxel (76, 5): R=254, G=254, B=254
Píxel (77, 5): R=254, G=254, B=254
Píxel (78, 5): R=000, G=000, B=000
Píxel (79, 5): R=225, G=225, B=225
Píxel (80, 5): R=181, G=181, B=181
Píxel (81, 5): R=253, G=253, B=253
Píxel (82, 5): R=253, G=253, B=253
Píxel (0, 6): R=000, G=000, B=000
Píxel (1, 6): R=251, G=251, B=251
Píxel (2, 6): R=188, G=188, B=188
Píxel (3, 6): R=225, G=225, B=225
Píxel (4, 6): R=252, G=252, B=252
Píxel (5, 6): R=000, G=000, B=000
Píxel (6, 6): R=000, G=000, B=000
Píxel (7, 6): R=253, G=253, B=253
Píxel (8, 6): R=000, G=000, B=000
Píxel (9, 6): R=000, G=000, B=000
Píxel (10, 6): R=000, G=000, B=000
Píxel (11, 6): R=000, G=000, B=000
Píxel (12, 6): R=000, G=000, B=000
Píxel (13, 6): R=000, G=000, B=000
Píxel (14, 6): R=000, G=000, B=000
Píxel (15, 6): R=254, G=000, B=000
Píxel (16, 6): R=251, G=000, B=000
Píxel (17, 6): R=251, G=000, B=000
Píxel (18, 6): R=252, G=000, B=000
Píxel (19, 6): R=254, G=000, B=251
Píxel (20, 6): R=000, G=000, B=250
Píxel (21, 6): R=000, G=000, B=251
Píxel (22, 6): R=252, G=000, B=000
Píxel (23, 6): R=252, G=000, B=000
Píxel (24, 6): R=000, G=254, B=000
Píxel (25, 6): R=000, G=254, B=000
Píxel (26, 6): R=000, G=000, B=000
Píxel (27, 6): R=000, G=000, B=253
Píxel (28, 6): R=000, G=253, B=253
Píxel (29, 6): R=000, G=253, B=000
Píxel (30, 6): R=000, G=254, B=000
Píxel (31, 6): R=000, G=254, B=000
Píxel (32, 6): R=254, G=000, B=000
Píxel (33, 6): R=253, G=000, B=254
Píxel (34, 6): R=251, G=000, B=254
Píxel (35, 6): R=251, G=000, B=254
Píxel (36, 6): R=251, G=000, B=254
Píxel (37, 6): R=251, G=000, B=254
Píxel (38, 6): R=251, G=000, B=254
Píxel (39, 6): R=252, G=000, B=000
Píxel (40, 6): R=251, G=000, B=254
Píxel (41, 6): R=249, G=000, B=253
Píxel (42, 6): R=250, G=000, B=254
Píxel (43, 6): R=250, G=000, B=254
Píxel (44, 6): R=252, G=000, B=000
Píxel (45, 6): R=253, G=000, B=254
Píxel (46, 6): R=000, G=253, B=254
Píxel (47, 6): R=000, G=254, B=000
Píxel (48, 6): R=000, G=253, B=000
Píxel (49, 6): R=000, G=253, B=000
Píxel (50, 6): R=000, G=252, B=000
Píxel (51, 6): R=000, G=252, B=000
Píxel (52, 6): R=000, G=252, B=000
Píxel (53, 6): R=000, G=253, B=000
Píxel (54, 6): R=000, G=000, B=000
Píxel (55, 6): R=000, G=000, B=000
Píxel (56, 6): R=000, G=253, B=000
Píxel (57, 6): R=000, G=253, B=000
Píxel (58, 6): R=000, G=254, B=000
Píxel (59, 6): R=000, G=000, B=253
Píxel (60, 6): R=254, G=000, B=253
Píxel (61, 6): R=000, G=000, B=253
Píxel (62, 6): R=000, G=254, B=000
Píxel (63, 6): R=000, G=254, B=000
Píxel (64, 6): R=000, G=254, B=000
Píxel (65, 6): R=000, G=000, B=000
Píxel (66, 6): R=000, G=000, B=000
Píxel (67, 6): R=000, G=000, B=000
Píxel (68, 6): R=000, G=000, B=000
Píxel (69, 6): R=000, G=000, B=000
Píxel (70, 6): R=000, G=000, B=000
Píxel (71, 6): R=000, G=000, B=000
Píxel (72, 6): R=254, G=254, B=254
Píxel (73, 6): R=000, G=000, B=000
Píxel (74, 6): R=254, G=254, B=254
Píxel (75, 6): R=000, G=000, B=000
Píxel (76, 6): R=000, G=000, B=000
Píxel (77, 6): R=254, G=254, B=254
Píxel (78, 6): R=000, G=000, B=000
Píxel (79, 6): R=226, G=226, B=226
Píxel (80, 6): R=185, G=185, B=185
Píxel (81, 6): R=000, G=000, B=000
Píxel (82, 6): R=000, G=000, B=000
Píxel (0, 7): R=254, G=254, B=254
Píxel (1, 7): R=000, G=000, B=000
Píxel (2, 7): R=184, G=184, B=184
Píxel (3, 7): R=223, G=223, B=223
Píxel (4, 7): R=000, G=000, B=000
Píxel (5, 7): R=000, G=000, B=000
Píxel (6, 7): R=000, G=000, B=000
Píxel (7, 7): R=000, G=000, B=000
Píxel (8, 7): R=000, G=000, B=000
Píxel (9, 7): R=000, G=000, B=000
Píxel (10, 7): R=000, G=000, B=000
Píxel (11, 7): R=000, G=000, B=000
Píxel (12, 7): R=000, G=000, B=000
Píxel (13, 7): R=000, G=000, B=000
Píxel (14, 7): R=000, G=000, B=000
Píxel (15, 7): R=254, G=000, B=000
Píxel (16, 7): R=251, G=000, B=000
Píxel (17, 7): R=251, G=000, B=000
Píxel (18, 7): R=251, G=000, B=000
Píxel (19, 7): R=252, G=000, B=253
Píxel (20, 7): R=254, G=000, B=253
Píxel (21, 7): R=254, G=000, B=000
Píxel (22, 7): R=252, G=000, B=000
Píxel (23, 7): R=254, G=000, B=000
Píxel (24, 7): R=000, G=253, B=000
Píxel (25, 7): R=000, G=253, B=000
Píxel (26, 7): R=000, G=254, B=000
Píxel (27, 7): R=000, G=000, B=253
Píxel (28, 7): R=000, G=253, B=253
Píxel (29, 7): R=000, G=253, B=000
Píxel (30, 7): R=000, G=253, B=000
Píxel (31, 7): R=000, G=254, B=000
Píxel (32, 7): R=000, G=000, B=000
Píxel (33, 7): R=000, G=254, B=251
Píxel (34, 7): R=000, G=250, B=249
Píxel (35, 7): R=000, G=247, B=247
Píxel (36, 7): R=000, G=244, B=243
Píxel (37, 7): R=000, G=242, B=240
Píxel (38, 7): R=000, G=242, B=237
Píxel (39, 7): R=000, G=242, B=236
Píxel (40, 7): R=000, G=240, B=235
Píxel (41, 7): R=000, G=239, B=232
Píxel (42, 7): R=000, G=238, B=234
Píxel (43, 7): R=000, G=239, B=235
Píxel (44, 7): R=000, G=240, B=238
Píxel (45, 7): R=000, G=240, B=237
Píxel (46, 7): R=000, G=241, B=239
Píxel (47, 7): R=000, G=245, B=243
Píxel (48, 7): R=000, G=248, B=250
Píxel (49, 7): R=000, G=250, B=252
Píxel (50, 7): R=000, G=252, B=252
Píxel (51, 7): R=000, G=254, B=252
Píxel (52, 7): R=000, G=254, B=000
Píxel (53, 7): R=000, G=254, B=000
