
Píxel (0, 0): R=245, G=255, B=255
Píxel (1, 8): R=0004, G=248, B=248
Píxel (2, 8): R=0005, G=247, B=251
Píxel (3, 8): R=0005, G=251, B=253
Píxel (4, 8): R=0005, G=251, B=247
Píxel (5, 8): R=0005, G=245, B=236
Píxel (6, 8): R=0005, G=222, B=214
Píxel (7, 8): R=191, G=86, B=80
Píxel (8, 8): R=193, G=29, B=27
Píxel (9, 8): R=226, G=27, B=22
Píxel (10, 8): R=237, G=23, B=12
Píxel (11, 8): R=245, G=24, B=6
Píxel (12, 8): R=242, G=23, B=1
Píxel (13, 8): R=240, G=22, B=0
Píxel (14, 8): R=247, G=25, B=2
Píxel (15, 8): R=246, G=21, B=1
Píxel (16, 8): R=245, G=21, B=9
Píxel (17, 8): R=245, G=21, B=11
Píxel (18, 8): R=247, G=21, B=9
Píxel (19, 8): R=247, G=21, B=7
Píxel (20, 8): R=248, G=21, B=4
Píxel (21, 8): R=248, G=21, B=2
Píxel (22, 8): R=0000, G=21, B=0
Píxel (23, 8): R=0000, G=21, B=0
Píxel (24, 8): R=0003, G=23, B=0
Píxel (25, 8): R=0003, G=23, B=0
Píxel (26, 8): R=0003, G=21, B=0
Píxel (27, 8): R=000, G=20, B=0
Píxel (28, 8): R=0001, G=21, B=0
Píxel (29, 8): R=0000, G=19, B=0
Píxel (30, 8): R=0000, G=19, B=0
Píxel (31, 8): R=246, G=19, B=2
Píxel (32, 8): R=243, G=23, B=9
Píxel (33, 8): R=229, G=28, B=18
Píxel (34, 8): R=198, G=30, B=21
Píxel (35, 8): R=161, G=37, B=29
Píxel (36, 8): R=0005, G=215, B=203
Píxel (37, 8): R=0005, G=238, B=226
Píxel (38, 8): R=0005, G=253, B=246
Píxel (39, 8): R=000, G=251, B=249
Píxel (40, 8): R=0005, G=251, B=253
Píxel (41, 8): R=0005, G=249, B=252
Píxel (0, 9): R=0005, G=251, B=254
Píxel (1, 9): R=0005, G=252, B=253
Píxel (2, 9): R=0005, G=252, B=251
Píxel (3, 9): R=0005, G=250, B=247
Píxel (4, 9): R=0005, G=248, B=238
Píxel (5, 9): R=0005, G=238, B=225
Píxel (6, 9): R=214, G=117, B=108
Píxel (7, 9): R=176, G=29, B=21
Píxel (8, 9): R=224, G=27, B=21
Píxel (9, 9): R=246, G=23, B=15
Píxel (10, 9): R=246, G=21, B=3
Píxel (11, 9): R=247, G=21, B=0
Píxel (12, 9): R=246, G=22, B=0
Píxel (13, 9): R=246, G=20, B=0
Píxel (14, 9): R=0003, G=24, B=5
Píxel (15, 9): R=0001, G=20, B=4
Píxel (16, 9): R=0001, G=19, B=7
Píxel (17, 9): R=0000, G=20, B=7
Píxel (18, 9): R=0001, G=19, B=5
Píxel (19, 9): R=0000, G=20, B=4
Píxel (20, 9): R=0000, G=21, B=2
Píxel (21, 9): R=0000, G=21, B=0
Píxel (22, 9): R=0000, G=21, B=0
Píxel (23, 9): R=0000, G=21, B=0
Píxel (24, 9): R=0001, G=23, B=0
Píxel (25, 9): R=0001, G=23, B=0
Píxel (26, 9): R=0001, G=21, B=0
Píxel (27, 9): R=0001, G=21, B=0
Píxel (28, 9): R=0001, G=21, B=0
Píxel (29, 9): R=0001, G=21, B=0
Píxel (30, 9): R=0001, G=21, B=0
Píxel (31, 9): R=000, G=20, B=0
Píxel (32, 9): R=0000, G=18, B=0
Píxel (33, 9): R=246, G=23, B=6
Píxel (34, 9): R=230, G=26, B=17
Píxel (35, 9): R=206, G=39, B=31
Píxel (36, 9): R=168, G=60, B=48
Píxel (37, 9): R=0005, G=226, B=215
Píxel (38, 9): R=0005, G=238, B=226
Píxel (39, 9): R=0005, G=248, B=240
Píxel (40, 9): R=0005, G=250, B=248
Píxel (41, 9): R=0005, G=250, B=250
Píxel (0, 10): R=0003, G=251, B=254
Píxel (1, 10): R=0000, G=248, B=249
Píxel (2, 10): R=0005, G=253, B=249
Píxel (3, 10): R=0005, G=252, B=241
Píxel (4, 10): R=0005, G=235, B=218
Píxel (5, 10): R=0005, G=188, B=171
Píxel (6, 10): R=160, G=22, B=12
Píxel (7, 10): R=217, G=33, B=23
Píxel (8, 10): R=242, G=24, B=14
Píxel (9, 10): R=0003, G=23, B=7
Píxel (10, 10): R=245, G=21, B=0
Píxel (11, 10): R=247, G=21, B=0
Píxel (12, 10): R=0005, G=19, B=0
Píxel (13, 10): R=0005, G=16, B=2
Píxel (14, 10): R=0005, G=19, B=8
Píxel (15, 10): R=0005, G=14, B=4
Píxel (16, 10): R=0005, G=15, B=4
Píxel (17, 10): R=0005, G=16, B=2
Píxel (18, 10): R=0005, G=16, B=2
Píxel (19, 10): R=0005, G=17, B=0
Píxel (20, 10): R=0004, G=19, B=0
Píxel (21, 10): R=0001, G=21, B=0
Píxel (22, 10): R=0000, G=21, B=0
Píxel (23, 10): R=248, G=22, B=0
Píxel (24, 10): R=246, G=22, B=0
Píxel (25, 10): R=247, G=23, B=0
Píxel (26, 10): R=248, G=22, B=0
Píxel (27, 10): R=248, G=22, B=0
Píxel (28, 10): R=0001, G=21, B=0
Píxel (29, 10): R=000, G=22, B=0
Píxel (30, 10): R=0003, G=21, B=1
Píxel (31, 10): R=0005, G=20, B=0
Píxel (32, 10): R=0005, G=23, B=0
Píxel (33, 10): R=0003, G=21, B=0
Píxel (34, 10): R=245, G=14, B=4
Píxel (35, 10): R=230, G=23, B=17
Píxel (36, 10): R=184, G=25, B=19
Píxel (37, 10): R=214, G=107, B=97
Píxel (38, 10): R=0005, G=233, B=217
Píxel (39, 10): R=0005, G=252, B=237
Píxel (40, 10): R=0005, G=250, B=243
Píxel (41, 10): R=0005, G=253, B=248
Píxel (0, 11): R=248, G=252, B=255
Píxel (1, 11): R=0004, G=255, B=255
Píxel (2, 11): R=246, G=243, B=234
Píxel (3, 11): R=0005, G=248, B=234
Píxel (4, 11): R=0005, G=228, B=213
Píxel (5, 11): R=162, G=49, B=35
Píxel (6, 11): R=214, G=37, B=29
Píxel (7, 11): R=241, G=27, B=19
Píxel (8, 11): R=248, G=18, B=3
Píxel (9, 11): R=000, G=20, B=0
Píxel (10, 11): R=246, G=20, B=0
Píxel (11, 11): R=0001, G=23, B=0
Píxel (12, 11): R=0005, G=19, B=2
Píxel (13, 11): R=0005, G=15, B=4
Píxel (14, 11): R=0005, G=16, B=8
Píxel (15, 11): R=0005, G=12, B=4
Píxel (16, 11): R=0005, G=16, B=2
Píxel (17, 11): R=0005, G=16, B=0
Píxel (18, 11): R=0005, G=17, B=0
Píxel (19, 11): R=0005, G=18, B=0
Píxel (20, 11): R=0004, G=19, B=0
Píxel (21, 11): R=000, G=20, B=0
Píxel (22, 11): R=0001, G=20, B=0
Píxel (23, 11): R=0000, G=21, B=0
Píxel (24, 11): R=247, G=21, B=0
Píxel (25, 11): R=247, G=21, B=0
Píxel (26, 11): R=248, G=21, B=2
Píxel (27, 11): R=0000, G=21, B=2
Píxel (28, 11): R=0001, G=20, B=2
Píxel (29, 11): R=0003, G=20, B=3
Píxel (30, 11): R=0003, G=20, B=5
Píxel (31, 11): R=0005, G=20, B=1
Píxel (32, 11): R=0001, G=20, B=0
Píxel (33, 11): R=0005, G=22, B=0
Píxel (34, 11): R=0005, G=12, B=1
Píxel (35, 11): R=0003, G=22, B=16
Píxel (36, 11): R=228, G=30, B=27
Píxel (37, 11): R=176, G=29, B=22
Píxel (38, 11): R=0005, G=193, B=177
Píxel (39, 11): R=0005, G=237, B=219
Píxel (40, 11): R=0005, G=249, B=238
Píxel (41, 11): R=0005, G=254, B=245
Píxel (0, 12): R=248, G=255, B=255
Píxel (1, 12): R=245, G=251, B=249
Píxel (2, 12): R=0005, G=254, B=244
Píxel (3, 12): R=0005, G=232, B=221
Píxel (4, 12): R=0003, G=142, B=135
Píxel (5, 12): R=184, G=16, B=13
Píxel (6, 12): R=242, G=28, B=26
Píxel (7, 12): R=248, G=14, B=7
Píxel (8, 12): R=0000, G=17, B=2
Píxel (9, 12): R=0003, G=21, B=0
Píxel (10, 12): R=0001, G=19, B=0
Píxel (11, 12): R=0004, G=22, B=0
Píxel (12, 12): R=000, G=21, B=3
Píxel (13, 12): R=249, G=18, B=2
Píxel (14, 12): R=0001, G=21, B=8
Píxel (15, 12): R=247, G=20, B=4
Píxel (16, 12): R=0000, G=21, B=2
Píxel (17, 12): R=0000, G=21, B=0
Píxel (18, 12): R=0000, G=21, B=0
Píxel (19, 12): R=0001, G=20, B=0
Píxel (20, 12): R=0001, G=20, B=0
Píxel (21, 12): R=0001, G=20, B=2
Píxel (22, 12): R=000, G=19, B=4
Píxel (23, 12): R=000, G=19, B=4
Píxel (24, 12): R=000, G=19, B=5
Píxel (25, 12): R=000, G=19, B=5
Píxel (26, 12): R=000, G=18, B=7
Píxel (27, 12): R=000, G=18, B=7
Píxel (28, 12): R=0004, G=18, B=7
Píxel (29, 12): R=000, G=18, B=7
Píxel (30, 12): R=000, G=18, B=7
Píxel (31, 12): R=0001, G=20, B=4
Píxel (32, 12): R=241, G=15, B=0
Píxel (33, 12): R=0005, G=27, B=3
Píxel (34, 12): R=0005, G=18, B=4
Píxel (35, 12): R=0004, G=13, B=6
Píxel (36, 12): R=245, G=23, B=20
Píxel (37, 12): R=212, G=35, B=29
Píxel (38, 12): R=181, G=73, B=60
Píxel (39, 12): R=0005, G=225, B=211
Píxel (40, 12): R=0005, G=244, B=232
Píxel (41, 12): R=0005, G=253, B=243
Píxel (0, 13): R=244, G=254, B=255
Píxel (1, 13): R=000, G=254, B=253
Píxel (2, 13): R=0005, G=245, B=237
Píxel (3, 13): R=0005, G=228, B=219
Píxel (4, 13): R=189, G=47, B=46
Píxel (5, 13): R=228, G=32, B=33
Píxel (6, 13): R=248, G=16, B=14
Píxel (7, 13): R=0005, G=13, B=5
Píxel (8, 13): R=0004, G=21, B=4
Píxel (9, 13): R=0003, G=24, B=1
Píxel (10, 13): R=0000, G=20, B=0
Píxel (11, 13): R=000, G=21, B=1
Píxel (12, 13): R=0000, G=21, B=2
Píxel (13, 13): R=243, G=18, B=0
Píxel (14, 13): R=248, G=22, B=6
Píxel (15, 13): R=247, G=24, B=6
Píxel (16, 13): R=245, G=23, B=2
Píxel (17, 13): R=245, G=23, B=0
Píxel (18, 13): R=247, G=22, B=0
Píxel (19, 13): R=248, G=22, B=0
Píxel (20, 13): R=0000, G=21, B=2
Píxel (21, 13): R=0001, G=20, B=2
Píxel (22, 13): R=000, G=19, B=4
Píxel (23, 13): R=0004, G=18, B=5
Píxel (24, 13): R=0005, G=17, B=5
Píxel (25, 13): R=0005, G=17, B=5
Píxel (26, 13): R=0005, G=17, B=7
Píxel (27, 13): R=0004, G=18, B=7
Píxel (28, 13): R=0004, G=18, B=7
Píxel (29, 13): R=000, G=19, B=5
Píxel (30, 13): R=000, G=19, B=5
Píxel (31, 13): R=0000, G=20, B=4
Píxel (32, 13): R=0003, G=31, B=8
Píxel (33, 13): R=235, G=10, B=0
Píxel (34, 13): R=0003, G=16, B=0
Píxel (35, 13): R=0005, G=25, B=13
Píxel (36, 13): R=246, G=15, B=9
Píxel (37, 13): R=220, G=23, B=17
Píxel (38, 13): R=170, G=33, B=23
Píxel (39, 13): R=0005, G=184, B=172
Píxel (40, 13): R=0005, G=238, B=228
Píxel (41, 13): R=0005, G=250, B=240
Píxel (0, 14): R=0001, G=254, B=255
Píxel (1, 14): R=0005, G=251, B=255
Píxel (2, 14): R=0005, G=235, B=232
Píxel (3, 14): R=0005, G=172, B=170
Píxel (4, 14): R=182, G=26, B=27
Píxel (5, 14): R=223, G=19, B=20
Píxel (6, 14): R=248, G=15, B=11
Píxel (7, 14): R=0005, G=16, B=5
Píxel (8, 14): R=0001, G=24, B=5
Píxel (9, 14): R=247, G=25, B=2
Píxel (10, 14): R=244, G=19, B=0
Píxel (11, 14): R=248, G=21, B=2
Píxel (12, 14): R=0000, G=20, B=4
Píxel (13, 14): R=248, G=18, B=2
Píxel (14, 14): R=0003, G=22, B=6
Píxel (15, 14): R=0001, G=22, B=3
Píxel (16, 14): R=247, G=22, B=0
Píxel (17, 14): R=247, G=23, B=0
Píxel (18, 14): R=247, G=22, B=0
Píxel (19, 14): R=248, G=22, B=0
Píxel (20, 14): R=0000, G=21, B=0
Píxel (21, 14): R=0001, G=20, B=2
Píxel (22, 14): R=000, G=19, B=2
Píxel (23, 14): R=0004, G=19, B=2
Píxel (24, 14): R=0004, G=19, B=2
Píxel (25, 14): R=0004, G=19, B=2
Píxel (26, 14): R=0004, G=19, B=2
Píxel (27, 14): R=0004, G=19, B=2
Píxel (28, 14): R=0004, G=19, B=2
Píxel (29, 14): R=000, G=20, B=0
Píxel (30, 14): R=000, G=20, B=0
